COMARCA;PIB;PIB_CAPITA;VAB_AGRICULTURA;VAB_INDUSTRIA;VAB_CONSTRUCCIO;VAB_SERVEIS;ATUR;PREST_AJUT_LLOGUER;PREST_AJUDA_ALIMENTARIA
ALT CAMP;1471.50;33.2;1.4;48.1;4.3;46.1;14.83;2.9;4
ALT EMPORDA;3399;24.7;3.5;11.3;9.8;75.4;13.53;2.1;4.4
ALT PENEDES;3198;29.6;1.3;38.4;6.1;54.2;12.19;3.4;2.1
ALT URGELL;486.2;24.1;4;10.7;8.7;76.6;12.51;3.2;2.3
ALTA RIBAGORÇA;128;33.5;1.9;19.2;7.2;71.7;9.18;2;2.3
ANOIA;2661.50;22.2;1.1;32.5;7.2;59.2;15.4;2.6;2.4
BAGES;4978.60;28.3;0.9;29.3;5.6;64.1;14.19;3.4;2
BAIX CAMP;4412.70;23.1;1.1;21.1;7.3;70.5;16.3;3.8;3.4
BAIX EBRE;1766.90;22.9;4.1;16;8.2;71.7;15.09;3.3;6.6
BAIX EMPORDA;3058.20;23.2;2.4;8.3;12.2;77.1;12.75;2.8;3.5
BAIX LLOBREGAT;26980.20;33.1;0.1;26.6;4.3;69;12.17;1.9;2.2
BAIX PENEDES;1976.20;19.1;0.5;18.2;8.3;73;19.69;4;3.8
BARCELONES;89030.10;39.5;0;8.5;3.9;87.6;12.42;1.3;2
BERGUEDA;980.7;25.1;3.4;24.4;9.4;62.8;12.55;2.3;2.7
CERDANYA;460.2;25.7;1.6;4.4;16.9;77;7.75;3;3.1
CONCA DE BARBERA;650.7;32.6;2.9;46.1;5.1;45.9;9.99;3;1.4
GARRAF;2903.60;19.7;0.6;10.4;8.3;80.7;15.19;2.8;2.4
GARRIGUES;431.2;22.8;19.1;26.7;8.8;45.4;9.78;1.1;2.8
GARROTXA;1692.30;30.2;1.4;43;5.7;49.8;9.56;3.1;2.8
GIRONES;6217.10;33.2;1;18.1;5.2;75.7;12.42;2.7;5.9
MARESME;9814.90;22.1;1.3;16.9;7.1;74.7;14.36;2.9;2.3
MOIANÈS;309.3;23.1;3;38.3;11.7;47;10.2;2.2;2.7
MONTSIA;1268.10;18.6;6.4;20.3;7.2;66.2;16.32;3.5;1.8
NOGUERA;935.3;24.5;19.4;19.2;7.6;53.8;11.8;2.3;3.1
OSONA;4669.60;29.6;2.1;33.9;6.9;57.2;11.42;3.7;3
PALLARS JUSSA;300.4;23.2;7.8;18.7;9;64.5;12.21;3;2
PALLARS SOBIRA;192.7;27.9;2.7;15.6;10.2;71.5;10.67;4.4;2.3
PLA D'URGELL;1006.30;27.2;12.4;30.5;6.6;50.5;9.43;2.3;4.3
PLA DE L'ESTANY;886.9;27.8;2.6;35.1;7.6;54.7;9.15;2.8;2.4
PRIORAT;169.9;18.5;3.3;26.1;9;61.6;10.46;3;2.8
RIBERA D'EBRE;1070.40;49.4;2.4;66.5;2.8;28.3;12.89;1.8;2.6
RIPOLLES;621.5;25;1.3;30.4;7.6;60.7;10.12;2;1.4
SEGARRA;774.7;34.4;6.8;55.8;4.5;32.9;8.04;2.5;3.1
SEGRIA;5990.20;29.2;6.7;10;5.9;77.3;13.39;2.7;5.7
SELVA;4542.20;27.1;1.9;28;6.4;63.7;15.51;2.9;4
SOLSONES;360.7;26.6;8.2;25.6;9.3;56.9;9.42;4;1.4
TARRAGONES;8891.50;34.8;0.4;28.6;4.4;66.6;15.76;3.1;3.8
TERRA ALTA;273;24;6.6;42;8.5;43;8.88;1;1.4
URGELL;967.3;26.7;9.6;28.1;6.9;55.4;11.7;2.9;2.7
VALL D'ARAN;384.7;38.8;0.2;11;9.6;79.2;10.49;1.8;2.2
VALLES OCCIDENTAL;28482.50;31;0;27.4;5.1;67.5;13.31;1.9;2.6
VALLES ORIENTAL;12892.40;31.7;0.3;38;5.3;56.4;13.02;2.2;2.6